rank_type,channel,video_title,pattern,views,comments,buzz_score
バズスコア,Cole Medin,Pi Coding Agent + Archon：あらゆるAIコーディングワークフローを構築可能（Claudeコードの肥大化なし）,AI活用,14143,63,7.0
バズスコア,Greg Isenberg,誰も知らない私のクロード・コードのワークフロー,その他,38580,57,6.29
バズスコア,Nate Herk | AI Automation,Claude Designが美しい3Dウェブサイトを瞬時に構築します（完全チュートリアル）,AI活用,42055,160,6.15
バズスコア,Matt Wolfe,AIニュース：今年最大の飛躍！,AI活用,55574,169,5.96
バズスコア,AICodeKing,Qwen 3.6 27B + Hermes、OpenCode、OpenClaw: これは本当に素晴らしい！最高のローカルAIコーダーです！,AI活用,7134,12,5.62
バズスコア,AI Engineer,【完全版ワークショップ】 エンジニアのためのAIコーディング - マット・ポコック（AIヒーロー）（@mattpocockuk）,AI活用,20528,31,4.95
バズスコア,Alex Finn,🔴ライブ配信：ChatGPT 5.5が登場。Claude Opus 4.7を超えるのか？,AI活用,9383,25,4.94
バズスコア,Cole Medin,並列クロードコード＋Gitワークツリー：この設定で出荷方法が変わります,その他,9829,48,4.87
バズスコア,Nate Herk | AI Automation,OpenAI Image 2はすごい！その活用法を10通り紹介します。,AI活用,32662,92,4.78
バズスコア,AICodeKing,Addy-Skills + Claude Code、Codex: この22スキル構成でパフォーマンスが10倍になります！,AI活用,5755,25,4.53
バズスコア,Riley Brown,"Codexが1,000時間分の動画編集チュートリアルを刷新",その他,8507,26,3.9
バズスコア,Cole Medin,独自のコードを出荷するAIダークファクトリーを構築中（公開実験）,AI活用,7845,37,3.88
バズスコア,AI LABS,一夜にして数百万ドルを稼ぎ出した、Vibe Codedのアプリ8選,その他,5009,6,3.82
バズスコア,Cole Medin,AIダークファクトリーは生きている：自らコードを書き出すコードベース、ライブ,AI活用,6886,15,3.41
バズスコア,Claude,AIモデルにバイアスが存在するのはなぜか？,AI活用,6041,49,2.98
バズスコア,Riley Brown,ChatGPTの新しい画像モデルは非常に優れているため、バーコード付きの書籍の画像を生成します...,その他,5308,9,2.43
バズスコア,Ali Abdaal,クロード・コード入門のための究極の初心者ガイド,チュートリアル,130317,195,1.98
バズスコア,NetworkChuck,ほとんどのAIコーディングツールはWindows上でサンドボックス化されていません（例外が1つあります）。,AI活用,97465,159,1.86
バズスコア,AI Engineer,AIEマイアミ2日目！Cerebras、OpenCode、Cursor、Arize AIなど多数の企業が参加！,AI活用,6990,1,1.68
バズスコア,Krish Naik,AIの学習はますます簡単で楽しくなっています！その方法を知りませんか？,AI活用,20461,33,1.45
バズスコア,corbin,AIエージェント向けCLIを6分で解説（初心者向け）,AI活用,2407,13,1.44
バズスコア,corbin,カーソル自動化機能の使い方（初心者向け）,その他,2071,3,1.24
バズスコア,Krish Naik,注目のAI関連職種：AIスペシャリスト、AIジェネラリスト、AIビルダー,AI活用,14852,52,1.05
バズスコア,Matt Wolfe,CanvaのAI機能が大幅にアップグレードされました,AI活用,8392,11,0.9
バズスコア,Krish Naik,AIエージェント構築チャレンジ2026 - Googleスタートアップ,AI活用,10217,9,0.72
バズスコア,corbin,Devin AI をエージェントコーディングに活用する方法,AI活用,1196,6,0.72
バズスコア,ProgrammingKnowledge,VS CodeでClaude Codeを設定する方法 - VS CodeでClaude Codeを使用する方法（2026）,比較,6826,3,0.37
バズスコア,Krish Naik,最新のノーコードAI入門講座 - AIジェネラリストからAIビルダーへのブートキャンプ開催のお知らせ,チュートリアル,4858,11,0.34
バズスコア,Tyler Moore,Claude Design - Figmaは死んだ,AI活用,1495,28,0.32
バズスコア,Claude Ams - Programming Guru 💻,AIユーザーなら誰もがチェックすべき！✨#トレンド #コーディング #クロード #ブラックボックスAI #ショート動画 #バイラル #AI,トレンド・ニュース,1332,0,0.32
バズスコア,Claude Ams - Programming Guru 💻,学生全員の救世主❤️‍🔥#トレンド #バイラル #ショート #AI #勉強 #試験 #YT #クロード #テクノロジー,トレンド・ニュース,1280,2,0.31
バズスコア,Krish Naik,クロード・コード入門：Vibeコーディング解説＋ライブビルド｜5日目,チュートリアル,3673,1,0.26
バズスコア,Claude Ams - Programming Guru 💻,彼はまだ18歳なのに何十万ルピーも稼いでいる🫣#trending #ai #yt #shorts #sidehustle #aitools #claude #blackbox,AI活用,994,0,0.24
バズスコア,Claude Ams - Programming Guru 💻,みんなこれを知っておくべきだよ！😳#トレンド #クロード #ブラックボックスAI #ショート #コーディング #AI #YouTube #ショート,トレンド・ニュース,925,0,0.22
バズスコア,Tyler Moore,ChatGPT 5.5とClaude 4.7 - 切り替えるべきか？,AI活用,682,8,0.14
バズスコア,Matt Wolfe,今週のAI関連ニュース速報,AI活用,1084,57,0.12
バズスコア,Pragati Kunwer | Claude Code,クロード・コードスキルを一般人向けに解説,その他,117,2,0.1
バズスコア,ProgrammingKnowledge,Visual Studio CodeにOpenAI Codexをインストールする方法（AIコーディングアシスタントのセットアップ）（2026）,AI活用,1607,2,0.09
バズスコア,Pragati Kunwer | Claude Code,"プログラミング経験のない人がClaude Codeを使って月5,000ドルのAIビジネスを構築する方法",AI活用,85,1,0.08
バズスコア,freeCodeCamp.org,ジュニア開発者であれば、Swyx はステップアップする方法を説明します,実装例,6833,1,0.06
バズスコア,ProgrammingKnowledge,Visual Studio CodeでGemini Code Assistを設定する方法🚀完全ガイド（2026）,チュートリアル,877,1,0.05
バズスコア,ProgrammingKnowledge,MacでVisual Studio Codeを使ってC++開発環境をセットアップする | VSCode C++開発の基本（macOS版）（2026）,実装例,837,1,0.04
バズスコア,Claude Ams - Programming Guru 💻,これらすべてはAIを使うだけで実現しました😳#トレンド #バイラル #コーディング #AI #AIツール #クロード #ブラックボックスAI #ショート,トレンド・ニュース,121,0,0.03
バズスコア,Pragati Kunwer | Claude Code,クロード・コードはあなたに取って代わることはありません。ユーザーこそがあなたに取って代わるのです。,その他,37,0,0.03
バズスコア,Pragati Kunwer | Claude Code,クロード・コード・スキル：2026年最大のチャンス,その他,11,0,0.01
バズスコア,Learn Skills Daily,金融分野における生成型AIのチュートリアル,AI活用,1,1,0.0
バズスコア,Learn Skills Daily,生成AIの基礎チュートリアル,AI活用,4,1,0.0
バズスコア,Cole Medin,Kimi K2.6で私のダークファクトリーをさらに進化させる：独自のコードを生成するコードベース、ライブ,その他,0,0,0.0
